"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"62762","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Duration.</p>
      <p style=""margin:50px"">Press any key to begin.</p>"," ","html-keyboard-response","0","62768","0.0-0.0","","","","","","","","","","","",""
"8609","","{""P0_Q0"":null,""heard-stroop-effect"":""Yes"",""gerder"":""Female""}","survey","1","71441","0.0-1.0","[]","","","","","","","","","","",""
"20860","
		<div style=""width:800px"">
			<p>You will see text in 4 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press B key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      "," ","html-keyboard-response","2","92301","0.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","92811","0.0-3.0-0.0","","fixation","","","","","","","","","",""
"1540","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","4","94854","0.0-3.0-1.0","","","R","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","95358","0.0-3.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","95861","0.0-3.0-0.1","","fixation","","","","","","","","","",""
"1967","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","7","98329","0.0-3.0-1.1","","","G","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","98832","0.0-3.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","99334","0.0-3.0-0.2","","fixation","","","","","","","","","",""
"2305","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","10","102141","0.0-3.0-1.2","","","Y","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","11","102643","0.0-3.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","103146","0.0-3.0-0.3","","fixation","","","","","","","","","",""
"1294","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","13","104942","0.0-3.0-1.3","","","B","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","14","105444","0.0-3.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","105948","0.0-3.0-0.4","","fixation","","","","","","","","","",""
"5631","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","16","112082","0.0-3.0-1.4","","","R","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","112584","0.0-3.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","113085","0.0-3.0-0.5","","fixation","","","","","","","","","",""
"2225","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","19","115813","0.0-3.0-1.5","","","G","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","116314","0.0-3.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","116817","0.0-3.0-0.6","","fixation","","","","","","","","","",""
"6097","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","22","123417","0.0-3.0-1.6","","","B","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","123919","0.0-3.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","124420","0.0-3.0-0.7","","fixation","","","","","","","","","",""
"1781","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","25","126705","0.0-3.0-1.7","","","Y","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","26","127208","0.0-3.0-2.7","","","","","","","","","","","",""
"2753","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	"," ","html-keyboard-response","27","129963","0.0-4.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","130466","0.0-5.0-0.0","","fixation","","","","","","","","","",""
"1877","","g","psychophysics","29","132888","0.0-5.0-1.0","","response","G","true","key","g","16.684725663716907","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","30","133392","0.0-5.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","133895","0.0-5.0-0.1","","fixation","","","","","","","","","",""
"1209","","g","psychophysics","32","135624","0.0-5.0-1.1","","response","G","true","key","g","16.68205479452066","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","33","136126","0.0-5.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","136628","0.0-5.0-0.2","","fixation","","","","","","","","","",""
"2348","","y","psychophysics","35","139481","0.0-5.0-1.2","","response","Y","true","key","y","16.68347857142861","500","400","Yellow","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","36","139984","0.0-5.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","140487","0.0-5.0-0.3","","fixation","","","","","","","","","",""
"1124","","g","psychophysics","38","142123","0.0-5.0-1.3","","response","G","true","key","g","16.682294117647174","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","39","142625","0.0-5.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","143127","0.0-5.0-0.4","","fixation","","","","","","","","","",""
"1242","","r","psychophysics","41","144886","0.0-5.0-1.4","","response","R","true","key","r","16.683053333333227","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","42","145388","0.0-5.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","145898","0.0-5.0-0.5","","fixation","","","","","","","","","",""
"1234","","y","psychophysics","44","147639","0.0-5.0-1.5","","response","R","false","key","y","16.680675675675612","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","45","148140","0.0-5.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","148644","0.0-5.0-0.6","","fixation","","","","","","","","","",""
"1728","","y","psychophysics","47","150883","0.0-5.0-1.6","","response","Y","true","key","y","16.681778846153836","500","400","Yellow","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","48","151385","0.0-5.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","151888","0.0-5.0-0.7","","fixation","","","","","","","","","",""
"1036","","b","psychophysics","50","153431","0.0-5.0-1.7","","response","B","true","key","b","16.67513114754082","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","51","153933","0.0-5.0-2.7","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","154435","0.0-5.0-0.8","","fixation","","","","","","","","","",""
"2442","","y","psychophysics","53","157403","0.0-5.0-1.8","","response","Y","true","key","y","16.682278911564712","500","400","Yellow","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","54","157905","0.0-5.0-2.8","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","158407","0.0-5.0-0.9","","fixation","","","","","","","","","",""
"1165","","r","psychophysics","56","160078","0.0-5.0-1.9","","response","R","true","key","r","16.685028571428433","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","57","160579","0.0-5.0-2.9","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","161084","0.0-5.0-0.10","","fixation","","","","","","","","","",""
"814","","y","psychophysics","59","162412","0.0-5.0-1.10","","response","Y","true","key","y","16.684673469387736","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","60","162915","0.0-5.0-2.10","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","163418","0.0-5.0-0.11","","fixation","","","","","","","","","",""
"1540","","b","psychophysics","62","165469","0.0-5.0-1.11","","response","B","true","key","b","16.863641304348004","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","63","165971","0.0-5.0-2.11","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","166473","0.0-5.0-0.12","","fixation","","","","","","","","","",""
"1506","","r","psychophysics","65","168500","0.0-5.0-1.12","","response","R","true","key","r","16.68271428571405","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","66","169002","0.0-5.0-2.12","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","169505","0.0-5.0-0.13","","fixation","","","","","","","","","",""
"2559","","b","psychophysics","68","172576","0.0-5.0-1.13","","response","B","true","key","b","16.68312337662338","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","69","173080","0.0-5.0-2.13","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","173583","0.0-5.0-0.14","","fixation","","","","","","","","","",""
"1097","","b","psychophysics","71","175188","0.0-5.0-1.14","","response","B","true","key","b","16.68225757575772","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","72","175690","0.0-5.0-2.14","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","176192","0.0-5.0-0.15","","fixation","","","","","","","","","",""
"1237","","y","psychophysics","74","177957","0.0-5.0-1.15","","response","Y","true","key","y","16.6844266666666","500","400","Yellow","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","75","178459","0.0-5.0-2.15","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","178962","0.0-5.0-0.16","","fixation","","","","","","","","","",""
"2482","","b","psychophysics","77","181952","0.0-5.0-1.16","","response","B","true","key","b","16.683234899328834","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","78","182454","0.0-5.0-2.16","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","182957","0.0-5.0-0.17","","fixation","","","","","","","","","",""
"1409","","y","psychophysics","80","184871","0.0-5.0-1.17","","response","Y","true","key","y","16.68148809523804","500","400","Yellow","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","81","185373","0.0-5.0-2.17","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","185874","0.0-5.0-0.18","","fixation","","","","","","","","","",""
"1093","","b","psychophysics","83","187475","0.0-5.0-1.18","","response","B","true","key","b","16.68340000000003","500","400","Blue","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","84","187978","0.0-5.0-2.18","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","188480","0.0-5.0-0.19","","fixation","","","","","","","","","",""
"687","","b","psychophysics","86","189686","0.0-5.0-1.19","","response","B","true","key","b","16.682547619047995","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","87","190187","0.0-5.0-2.19","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","190688","0.0-5.0-0.20","","fixation","","","","","","","","","",""
"974","","y","psychophysics","89","192175","0.0-5.0-1.20","","response","Y","true","key","y","16.68038983050866","500","400","Yellow","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","90","192691","0.0-5.0-2.20","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","91","193193","0.0-5.0-0.21","","fixation","","","","","","","","","",""
"811","","b","psychophysics","92","194512","0.0-5.0-1.21","","response","B","true","key","b","16.683306122448755","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","93","195015","0.0-5.0-2.21","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","195518","0.0-5.0-0.22","","fixation","","","","","","","","","",""
"773","","b","psychophysics","95","196811","0.0-5.0-1.22","","response","B","true","key","b","16.68017021276582","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","96","197314","0.0-5.0-2.22","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","97","197816","0.0-5.0-0.23","","fixation","","","","","","","","","",""
"1668","","g","psychophysics","98","200002","0.0-5.0-1.23","","response","G","true","key","g","16.68228712871309","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","99","200503","0.0-5.0-2.23","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","201006","0.0-5.0-0.24","","fixation","","","","","","","","","",""
"1012","","r","psychophysics","101","202549","0.0-5.0-1.24","","response","R","true","key","r","16.679548387096503","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","102","203050","0.0-5.0-2.24","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","103","203552","0.0-5.0-0.25","","fixation","","","","","","","","","",""
"1068","","y","psychophysics","104","205164","0.0-5.0-1.25","","response","R","false","key","y","16.940830769230917","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","105","205667","0.0-5.0-2.25","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","206170","0.0-5.0-0.26","","fixation","","","","","","","","","",""
"1775","","r","psychophysics","107","208459","0.0-5.0-1.26","","response","R","true","key","r","16.685074766355275","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","108","208961","0.0-5.0-2.26","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","109","209463","0.0-5.0-0.27","","fixation","","","","","","","","","",""
"2040","","g","psychophysics","110","212026","0.0-5.0-1.27","","response","G","true","key","g","16.68377235772375","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","111","212529","0.0-5.0-2.27","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","213032","0.0-5.0-0.28","","fixation","","","","","","","","","",""
"1497","","y","psychophysics","113","215054","0.0-5.0-1.28","","response","Y","true","key","y","16.684644444444306","500","400","Yellow","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","114","215556","0.0-5.0-2.28","","","","","","","","","","","",""
