"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"1060","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Duration.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","f","html-keyboard-response","0","1062","0.0-0.0","","","","","","","","","","","",""
"5087","","{""P0_Q0"":null,""heard-stroop-effect"":""No"",""gerder"":""Female""}","survey","1","6202","0.0-1.0","[]","","","","","","","","","","",""
"2494","
		<div style=""width:800px"">
			<p>You will see text in 4 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press B key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","e","html-keyboard-response","2","8696","0.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","9203","0.0-3.0-0.0","","fixation","","","","","","","","","",""
"4554","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","4","14270","0.0-3.0-1.0","","","G","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","14774","0.0-3.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","15276","0.0-3.0-0.1","","fixation","","","","","","","","","",""
"1917","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","7","17704","0.0-3.0-1.1","","","B","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","18212","0.0-3.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","18723","0.0-3.0-0.2","","fixation","","","","","","","","","",""
"2086","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","10","21314","0.0-3.0-1.2","","","R","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","11","21817","0.0-3.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","22324","0.0-3.0-0.3","","fixation","","","","","","","","","",""
"1136","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","13","23968","0.0-3.0-1.3","","","G","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","14","24473","0.0-3.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","24977","0.0-3.0-0.4","","fixation","","","","","","","","","",""
"1073","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","16","26561","0.0-3.0-1.4","","","Y","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","27069","0.0-3.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","27574","0.0-3.0-0.5","","fixation","","","","","","","","","",""
"1237","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","19","29315","0.0-3.0-1.5","","","R","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","29825","0.0-3.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","30333","0.0-3.0-0.6","","fixation","","","","","","","","","",""
"1074","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","22","31914","0.0-3.0-1.6","","","B","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","32423","0.0-3.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","32937","0.0-3.0-0.7","","fixation","","","","","","","","","",""
"1110","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","25","34558","0.0-3.0-1.7","","","Y","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","26","35063","0.0-3.0-2.7","","","","","","","","","","","",""
"3844","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	","d","html-keyboard-response","27","38908","0.0-4.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","39417","0.0-5.0-0.0","","fixation","","","","","","","","","",""
"2890","","r","psychophysics","29","42828","0.0-5.0-1.0","","response","R","true","key","r","8.324859598853878","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","30","43331","0.0-5.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","43836","0.0-5.0-0.1","","fixation","","","","","","","","","",""
"1010","","y","psychophysics","32","45359","0.0-5.0-1.1","","response","Y","true","key","y","8.325893442622936","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","33","45861","0.0-5.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","46367","0.0-5.0-0.2","","fixation","","","","","","","","","",""
"700","","r","psychophysics","35","47583","0.0-5.0-1.2","","response","R","true","key","r","8.325858823529458","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","36","48094","0.0-5.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","48606","0.0-5.0-0.3","","fixation","","","","","","","","","",""
"944","","r","psychophysics","38","50064","0.0-5.0-1.3","","response","R","true","key","r","8.324210526315781","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","39","50566","0.0-5.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","51079","0.0-5.0-0.4","","fixation","","","","","","","","","",""
"768","","b","psychophysics","41","52364","0.0-5.0-1.4","","response","B","true","key","b","8.325688172042979","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","42","52871","0.0-5.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","53385","0.0-5.0-0.5","","fixation","","","","","","","","","",""
"949","","r","psychophysics","44","54849","0.0-5.0-1.5","","response","R","true","key","r","8.323587719298207","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","45","55352","0.0-5.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","55859","0.0-5.0-0.6","","fixation","","","","","","","","","",""
"1200","","r","psychophysics","47","57579","0.0-5.0-1.6","","response","R","true","key","r","8.325486111111129","500","400","Red","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","48","58090","0.0-5.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","58610","0.0-5.0-0.7","","fixation","","","","","","","","","",""
"664","","r","psychophysics","50","59789","0.0-5.0-1.7","","response","R","true","key","r","8.325824999999986","500","400","Red","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","51","60290","0.0-5.0-2.7","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","60793","0.0-5.0-0.8","","fixation","","","","","","","","","",""
"1003","","y","psychophysics","53","62309","0.0-5.0-1.8","","response","Y","true","key","y","8.32776033057851","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","54","62825","0.0-5.0-2.8","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","63332","0.0-5.0-0.9","","fixation","","","","","","","","","",""
"1431","","y","psychophysics","56","65275","0.0-5.0-1.9","","response","Y","true","key","y","8.325593023255774","500","400","Yellow","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","57","65788","0.0-5.0-2.9","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","66303","0.0-5.0-0.10","","fixation","","","","","","","","","",""
"1334","","b","psychophysics","59","68142","0.0-5.0-1.10","","response","B","true","key","b","8.325493749999987","500","400","Blue","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","60","68652","0.0-5.0-2.10","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","69167","0.0-5.0-0.11","","fixation","","","","","","","","","",""
"765","","g","psychophysics","62","70445","0.0-5.0-1.11","","response","R","false","key","g","8.32546739130434","500","400","Red","Green","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","63","70951","0.0-5.0-2.11","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","71459","0.0-5.0-0.12","","fixation","","","","","","","","","",""
"3170","","g","psychophysics","65","75138","0.0-5.0-1.12","","response","G","true","key","g","8.325178477690317","500","400","Green","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","66","75654","0.0-5.0-2.12","","","","","","","","","","","",""
