"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"9645","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Duration.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","g","html-keyboard-response","0","9647","0.0-0.0","","","","","","","","","","","","",""
"3756","","{""P0_Q0"":null,""heard-stroop-effect"":""Yes"",""gerder"":""""}","survey","1","13509","0.0-1.0","[]","","","","","","","","","","","",""
"1777","
		<div style=""width:800px"">
			<p>You will see text in 4 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press B key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","g","html-keyboard-response","2","15288","0.0-2.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","15816","0.0-3.0-0.0","","fixation","","","","","","","","","","",""
"841","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","4","17164","0.0-3.0-1.0","","","Y","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","17666","0.0-3.0-2.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","18180","0.0-3.0-0.1","","fixation","","","","","","","","","","",""
"603","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","7","19300","0.0-3.0-1.1","","","R","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","19820","0.0-3.0-2.1","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","20322","0.0-3.0-0.2","","fixation","","","","","","","","","","",""
"512","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","10","21342","0.0-3.0-1.2","","","G","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","11","21848","0.0-3.0-2.2","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","22358","0.0-3.0-0.3","","fixation","","","","","","","","","","",""
"1596","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","13","24468","0.0-3.0-1.3","","","B","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","14","24973","0.0-3.0-2.3","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","25486","0.0-3.0-0.4","","fixation","","","","","","","","","","",""
"856","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","16","26852","0.0-3.0-1.4","","","R","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","27365","0.0-3.0-2.4","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","27878","0.0-3.0-0.5","","fixation","","","","","","","","","","",""
"769","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","19","29159","0.0-3.0-1.5","","","G","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","29662","0.0-3.0-2.5","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","30177","0.0-3.0-0.6","","fixation","","","","","","","","","","",""
"1245","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","22","31933","0.0-3.0-1.6","","","B","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","32440","0.0-3.0-2.6","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","32950","0.0-3.0-0.7","","fixation","","","","","","","","","","",""
"567","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","25","34027","0.0-3.0-1.7","","","Y","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","26","34534","0.0-3.0-2.7","","","","","","","","","","","","",""
"718","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	","g","html-keyboard-response","27","35252","0.0-4.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","35759","0.0-5.0-0.0","","fixation","","","","","","","","","","",""
"601","","g","psychophysics","29","36876","0.0-5.0-1.0","","response","G","true","key","g","16.683222222222362","500","400","Green","Yellow","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","30","37391","0.0-5.0-2.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","37904","0.0-5.0-0.1","","fixation","","","","","","","","","","",""
"727","","r","psychophysics","32","39149","0.0-5.0-1.1","","response","R","true","key","r","16.68234090909077","500","400","Red","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","33","39656","0.0-5.0-2.1","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","40170","0.0-5.0-0.2","","fixation","","","","","","","","","","",""
"534","","g","psychophysics","35","41221","0.0-5.0-1.2","","response","G","true","key","g","16.67925000000014","500","400","Green","Green","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","36","41723","0.0-5.0-2.2","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","42237","0.0-5.0-0.3","","fixation","","","","","","","","","","",""
"1035","","b","psychophysics","38","43788","0.0-5.0-1.3","","response","B","true","key","b","16.684532258064497","500","400","Blue","Blue","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","39","44298","0.0-5.0-2.3","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","44808","0.0-5.0-0.4","","fixation","","","","","","","","","","",""
"665","","r","psychophysics","41","45993","0.0-5.0-1.4","","response","R","true","key","r","16.684450000000105","500","400","Red","Green","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","42","46499","0.0-5.0-2.4","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","47005","0.0-5.0-0.5","","fixation","","","","","","","","","","",""
"566","","g","psychophysics","44","48100","0.0-5.0-1.5","","response","G","true","key","g","16.683457142857204","500","400","Green","Yellow","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","45","48602","0.0-5.0-2.5","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","49114","0.0-5.0-0.6","","fixation","","","","","","","","","","",""
"670","","r","psychophysics","47","50293","0.0-5.0-1.6","","response","R","true","key","r","16.681435897435733","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","48","50798","0.0-5.0-2.6","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","51309","0.0-5.0-0.7","","fixation","","","","","","","","","","",""
"642","","y","psychophysics","50","52468","0.0-5.0-1.7","","response","Y","true","key","y","16.68333333333337","500","400","Yellow","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","51","52983","0.0-5.0-2.7","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","53497","0.0-5.0-0.8","","fixation","","","","","","","","","","",""
"628","","r","psychophysics","53","54636","0.0-5.0-1.8","","response","R","true","key","r","16.681894736842015","500","400","Red","Red","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","54","55137","0.0-5.0-2.8","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","55648","0.0-5.0-0.9","","fixation","","","","","","","","","","",""
"1647","","r","psychophysics","56","57812","0.0-5.0-1.9","","response","R","true","key","r","16.683183673469436","500","400","Red","Green","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","57","58320","0.0-5.0-2.9","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","58827","0.0-5.0-0.10","","fixation","","","","","","","","","","",""
"528","","b","psychophysics","59","59869","0.0-5.0-1.10","","response","B","true","key","b","16.686062499999935","500","400","Blue","Blue","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","60","60378","0.0-5.0-2.10","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","60892","0.0-5.0-0.11","","fixation","","","","","","","","","","",""
"652","","y","psychophysics","62","62061","0.0-5.0-1.11","","response","Y","true","key","y","16.682410256410293","500","400","Yellow","Blue","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","63","62566","0.0-5.0-2.11","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","63076","0.0-5.0-0.12","","fixation","","","","","","","","","","",""
"634","","g","psychophysics","65","64226","0.0-5.0-1.12","","response","G","true","key","g","16.682815789473686","500","400","Green","Yellow","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","66","64734","0.0-5.0-2.12","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","65250","0.0-5.0-0.13","","fixation","","","","","","","","","","",""
"678","","y","psychophysics","68","66464","0.0-5.0-1.13","","response","Y","true","key","y","16.686023809523682","500","400","Yellow","Yellow","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","69","66974","0.0-5.0-2.13","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","67486","0.0-5.0-0.14","","fixation","","","","","","","","","","",""
"905","","g","psychophysics","71","68911","0.0-5.0-1.14","","response","G","true","key","g","16.68363636363647","500","400","Green","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","72","69415","0.0-5.0-2.14","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","69927","0.0-5.0-0.15","","fixation","","","","","","","","","","",""
"615","","g","psychophysics","74","71063","0.0-5.0-1.15","","response","G","true","key","g","16.680918918919005","500","400","Green","Green","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","75","71578","0.0-5.0-2.15","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","72083","0.0-5.0-0.16","","fixation","","","","","","","","","","",""
"644","","r","psychophysics","77","73246","0.0-5.0-1.16","","response","R","true","key","r","16.678078947368608","500","400","Red","Red","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","78","73758","0.0-5.0-2.16","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","74274","0.0-5.0-0.17","","fixation","","","","","","","","","","",""
"713","","y","psychophysics","80","75502","0.0-5.0-1.17","","response","Y","true","key","y","16.683860465116002","500","400","Yellow","Green","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","81","76011","0.0-5.0-2.17","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","76521","0.0-5.0-0.18","","fixation","","","","","","","","","","",""
"623","","g","psychophysics","83","77660","0.0-5.0-1.18","","response","G","true","key","g","16.680675675675612","500","400","Green","Green","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","84","78167","0.0-5.0-2.18","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","78676","0.0-5.0-0.19","","fixation","","","","","","","","","","",""
"1360","","y","psychophysics","86","80558","0.0-5.0-1.19","","response","Y","true","key","y","16.683695121951153","500","400","Yellow","Green","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","87","81068","0.0-5.0-2.19","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","81577","0.0-5.0-0.20","","fixation","","","","","","","","","","",""
"642","","r","psychophysics","89","82733","0.0-5.0-1.20","","response","R","true","key","r","16.682868421052454","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","90","83238","0.0-5.0-2.20","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","91","83746","0.0-5.0-0.21","","fixation","","","","","","","","","","",""
"442","","b","psychophysics","92","84702","0.0-5.0-1.21","","response","B","true","key","b","16.68880769230768","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","93","85215","0.0-5.0-2.21","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","85724","0.0-5.0-0.22","","fixation","","","","","","","","","","",""
"423","","b","psychophysics","95","86667","0.0-5.0-1.22","","response","B","true","key","b","16.6880769230769","500","400","Blue","Blue","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","96","87178","0.0-5.0-2.22","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","97","87688","0.0-5.0-0.23","","fixation","","","","","","","","","","",""
